step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,mpc_cost,mpc_u_sequence,mpc_predicted_yaw_err,mpc_predicted_rate,mpc_state,mpc_target_yaw,mpc_model_raw,mpc_static_bias,elapsed_s
0,1786853102.3051052,-0.8033903815016693,210.2886870956548,0.0,0.07634590796775652,0.7297630121661204,210.2886870956548,0.08368618597121036,0.15,0.135,0.15,True,0.003213561526006677,True,0.8988225687443219,-0.006578054542938212,0.1,0.0,0.2816355069830685,0.2816355069830685,False,0.2816355069830685,0.6044999972800724,3.524192974528145,0.9527412887547078;0.5256566297899482;0.26384437281763734;0.1077280556971133;0.024362974317391383,0.0;-0.12050855722525039;-0.18187510123113013;-0.21130261345566842;-0.2248844147531004;-0.23178491036900895,-0.8033903815016693;-0.40911029337253163;-0.1961834148302554;-0.09054534198287972;-0.046003304106056964;-0.032483965756521856,0.0;-0.8033903815016693,210.2886870956548,0.15,0.0,0.0
1,1786853102.4571664,-2.026770810243973,210.236069589165,0.0,0.3249876658009436,-1.0179233146086002,210.236069589165,0.4388886971614776,0.3,0.27,0.15,True,0.008107083240975893,True,0.6131010094282772,-5.069766355085201e-05,0.1,0.0,0.42805638557742504,0.42805638557742504,False,0.42805638557742504,0.4884999943897128,27.448690382777478,1.0;1.0;0.6683052106626793;0.26621379209186957;0.054750644708124505,-0.052617506489809784;-0.35663312802640573;-0.5746066406555612;-0.7181537290797807;-0.81224822608691;-0.8816603453539428,-2.026770810243973;-1.4531567508610368;-0.9569805894947967;-0.6272966467141954;-0.4627474617802182;-0.3838513610274514,-0.052617506489809784;-2.026770810243973,210.2886870956548,0.3,0.0,0.15206122398376465
2,1786853102.6076734,-2.745278235904317,210.0423776244564,0.0,0.7387047877220575,-1.5200565960909609,210.0423776244564,0.923352403691703,0.35,0.315,0.15,True,0.010981112943617267,True,0.22959362168600705,0.00593989849085288,0.1,0.0,0.4819210114344701,0.4819210114344701,False,0.4819210114344701,0.48909999895840883,61.90840390614249,1.0;1.0;0.9141603732740918;0.3420943520722508;0.05183329420333099,-0.2463094711984013;-0.6581012065840488;-0.969301057692634;-1.1934889289015602;-1.3462742206999472;-1.4630392522623006,-2.745278235904317;-2.0746656740572345;-1.4945858080595078;-1.0185686119892468;-0.7784335437490232;-0.6577950270819057,-0.2463094711984013;-2.745278235904317,210.2886870956548,0.35,0.0,0.3025681972503662
3,1786853102.75814,-3.2721013182468814,209.7708335086616,0.0,0.8159078644827361,-1.9647292455830485,209.7708335086616,0.8563351753836237,0.35,0.315,0.15,True,0.013088405272987526,True,-0.22338789169270967,0.012050182871667741,0.06649181624609356,0.0,0.4901385881446553,0.4901385881446553,False,0.4901385881446553,0.44380000326782465,105.6458612799496,1.0;1.0;1.0;0.38404579889765067;0.03317270527903702,-0.5178535869931977;-1.0086687847302298;-1.3882239307727626;-1.6715391320995536;-1.8716067812472277;-2.0273832368095714,-3.2721013182468814;-2.5303676402835524;-1.888768008845273;-1.333784327651161;-1.038509703748959;-0.8883590821591385,-0.5178535869931977;-3.2721013182468814,210.2886870956548,0.35,0.0,0.4530348777770996
4,1786853102.9085968,-3.8830747956564053,209.5012116635344,0.0,0.9512223477559758,-2.611767178021269,209.5012116635344,1.0165545471622468,0.35,0.315,0.15,True,0.015532299182625622,True,-0.7542651421897233,0.01919187580886645,-0.046647955082364925,0.0,0.499724174991492,0.499724174991492,False,0.499724174991492,0.46460000157821923,169.07483981902928,1.0;1.0;1.0;0.43748422904816037;0.01730918773102528,-0.7874754321204023;-1.369936651468863;-1.8287656062052815;-2.1806526520522835;-2.4400349467099405;-2.6447138412816464,-3.8830747956564053;-3.0588596982427907;-2.345913638980014;-1.729215297717712;-1.3645259638113727;-1.1751222023775298,-0.7874754321204023;-3.8830747956564053,210.2886870956548,0.35,0.0,0.6034915447235107
5,1786853103.0591044,-4.012843237559638,209.25618186524008,0.0,0.9518452922556582,-2.5353048904218056,209.25618186524008,0.9594525464732617,0.35,0.315,0.15,True,0.016051372950238552,True,-1.2893420230478227,0.02493194994315714,-0.1,0.0,0.5059833228933956,0.5059833228933956,False,0.5059833228933956,0.43450000521261245,203.30284585628795,1.0;1.0;1.0;0.42899539615703336;-0.010010149003208435,-1.0325052304147277;-1.6344317160486734;-2.110098126122036;-2.476549570835495;-2.748530070512637;-2.9644884099062985,-4.012843237559638;-3.1711094004890867;-2.44300963142306;-1.813203331180947;-1.4397222626244093;-1.2483628018710766,-1.0325052304147277;-4.012843237559638,210.2886870956548,0.35,0.0,0.7539992332458496
6,1786853103.209624,-3.9000990447604393,209.0324612390117,0.0,1.0432998580820578,-2.318626711321565,209.0324612390117,1.0898349500111117,0.35,0.315,0.15,True,0.015600396179041758,True,-1.792785043700519,0.02962814757128651,-0.1,0.0,0.5102285437503282,0.5102285437503282,False,0.5102285437503282,0.48580000293441117,218.22432926537942,1.0;1.0;1.0;0.39023912514553233;-0.04196565464551705,-1.2562258566431126;-1.8412407133571784;-2.3022785644148454;-2.6560763055797274;-2.91711135168735;-3.125345905938895,-3.9000990447604393;-3.0735856737177802;-2.35865160776588;-1.7402336407174859;-1.3882303616769656;-1.2134089592442303,-1.2562258566431126;-3.9000990447604393,210.2886870956548,0.35,0.0,0.9045188426971436
7,1786853103.360135,-4.126773945999721,208.8064955654131,0.0,1.0803540210275109,-2.6907669385773385,208.8064955654131,1.1035746545790162,0.35,0.315,0.15,True,0.016507095783998886,True,-2.3146553704271184,0.035526875542270346,-0.1,0.0,0.5170339713262692,0.5170339713262692,False,0.5170339713262692,0.45339999633142725,265.4221359859664,1.0;1.0;1.0;0.39675895810464157;-0.0639145735625946,-1.482191530241721;-2.101207622141679;-2.591656541635143;-2.9708948569969893;-3.253935999784986;-3.4809124351818945,-4.126773945999721;-3.269659463289759;-2.5282554357456415;-1.88694095191998;-1.5131762359793903;-1.328071816190951,-1.482191530241721;-4.126773945999721,210.2886870956548,0.35,0.0,1.0550298690795898
8,1786853103.5106418,-4.193097836677906,208.56610430680746,0.0,1.1018206557101107,-2.688368967586482,208.56610430680746,1.1183609200061075,0.35,0.315,0.15,True,0.016772391346711626,True,-2.843620045928816,0.04101549396932188,-0.1,0.0,0.5227878853160335,0.5227878853160335,False,0.5227878853160335,0.4695999959949404,303.88919531608883,1.0;1.0;1.0;0.3802528372567452;-0.09256621360251094,-1.7225827888473475;-2.3515474643490335;-2.8506019086579917;-3.2372840029852408;-3.526764014578311;-3.760052846929763,-4.193097836677906;-3.327029628726389;-2.5778806288483267;-1.9298667439538024;-1.5552588823430156;-1.3730687973074618,-1.7225827888473475;-4.193097836677906,210.2886870956548,0.35,0.0,1.2055366039276123
9,1786853103.6610732,-4.295731043108653,208.29837425265202,0.0,1.137257894666412,-2.8065633093397544,208.29837425265202,1.1597855607939953,0.35,0.315,0.15,True,0.01718292417243461,True,-3.387979702395114,0.0467669901532771,-0.1,0.0,0.5289499143257117,0.5289499143257117,False,0.5289499143257117,0.4434000002220273,353.63037163949303,1.0;1.0;1.0;0.36572689528344626;-0.12360394577097737,-1.9903128430027834;-2.6346724994690813;-3.147043602312429;-3.5452446062719245;-3.8446884746968886;-4.087249710596727,-4.295731043108653;-3.4158073522889847;-2.654673359729972;-1.9962924561664257;-1.6170749059989245;-1.435850977420363,-1.9903128430027834;-4.295731043108653,210.2886870956548,0.35,0.0,1.3559679985046387
