step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,diag_mode,diag_setpoint,elapsed_s
0,1786852990.9594774,-1.3726353794455053,0.0,0.0,0.31838814707853624,0.16051801422228437,3.360713911977473,0.32572842508199007,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.03550000110408291,open_loop,0.0,0.0
1,1786852991.1110337,-0.9850602506085495,0.0,0.0,0.20296132392910438,0.7141967697036498,3.36383470846595,0.1608329634399446,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05390000296756625,open_loop,0.0,0.15155625343322754
2,1786852991.2614415,-1.1609504510413717,0.0,0.0,0.23182667355974096,0.2968214281552085,3.3580422472133726,0.2515378156906105,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05249999958323315,open_loop,0.0,0.30196404457092285
3,1786852991.4119332,-1.0075732984908103,0.0,0.0,0.3070346832074972,0.5913131605557912,3.399044514571149,0.34660696534570373,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05190000229049474,open_loop,0.0,0.4524557590484619
4,1786852991.5624142,-1.2445747452104614,0.0,0.0,0.2958498429477368,0.1870065998631922,3.4672175034611317,0.2983966179827219,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05249999958323315,open_loop,0.0,0.6029367446899414
5,1786852991.7124784,-1.4322702072120954,0.0,0.0,0.20517212038769295,0.020442274169279517,3.5110671461719427,0.17365051729398515,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05270000110613182,open_loop,0.0,0.7530009746551514
6,1786852991.862924,-1.374561341113477,0.0,0.0,0.24119433969317594,0.18332442373943464,3.5737970858998556,0.26397271168469394,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05280000186758116,open_loop,0.0,0.9034466743469238
7,1786852992.0134249,-1.157770524660068,0.0,0.0,0.40954054681510604,0.46829321891632536,3.6085265978321006,0.4890291992993871,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.052100003813393414,open_loop,0.0,1.0539474487304688
8,1786852992.1639268,-1.2204881421268723,0.0,0.0,0.47361222441333917,0.2857862726265728,3.619759414283036,0.5084117928160358,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05390000296756625,open_loop,0.0,1.2044494152069092
9,1786852992.3144345,-1.042218093787171,0.0,0.0,0.37339645583670944,0.567336749169062,3.6646207334108385,0.33778711873589345,0.0,0.0,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.15,0.15,False,0.15,0.05439999949885532,open_loop,0.0,1.354957103729248
