step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,pid_error,pid_P,pid_I,pid_D,pid_integral,pid_model_raw,pid_static_bias,elapsed_s
0,1786853049.1811495,-3.8139439582163828,0.0,0.0,0.829230367599192,-2.280790564548593,302.7207626928549,0.8365706456026458,0.35,0.315,0.15,True,0.015255775832865531,True,0.0,0.0,0.0,0.0,0.4802557758328655,0.4802557758328655,False,0.4802557758328655,0.055999997130129486,3.8139439582163828,1.9069719791081914,0.028604579686622875,0.3559681027668624,0.5720915937324574,0.35,0.0,0.0
1,1786853049.3318717,-4.199607415431411,0.0,0.0,0.8605585132096865,-2.8317383605700632,302.53719383137644,0.8813251393319237,0.35,0.315,0.15,True,0.016798429661725647,True,0.0,0.0,0.0,0.0,0.4817984296617256,0.4817984296617256,False,0.4817984296617256,0.07140000525396317,4.199607415431411,2.0998037077157057,0.06010163530235846,0.1427856868367947,1.2020327060471692,0.35,0.0,0.15072226524353027
2,1786853049.4820092,-3.6188463279695933,0.0,0.0,0.9235959860547632,-1.8367953253895966,302.38751261234347,0.9579523238489643,0.35,0.315,0.15,True,0.014475385311878374,True,0.0,0.0,0.0,0.0,0.47947538531187833,0.47947538531187833,False,0.47947538531187833,0.07030000415397808,3.6188463279695933,1.8094231639847966,0.08724298276213041,-0.011368662112064607,1.744859655242608,0.35,0.0,0.3008596897125244
3,1786853049.6327784,-3.3719191756165676,0.0,0.0,0.9800617772230769,-1.7329398595117675,302.1046870926835,1.011601680012951,0.35,0.315,0.15,True,0.013487676702466271,True,0.0,0.0,0.0,0.0,0.4784876767024662,0.4784876767024662,False,0.4784876767024662,0.0774000000092201,3.3719191756165676,1.6859595878082838,0.11253237657925466,-0.026457132853235112,2.250647531585093,0.35,0.0,0.4516289234161377
4,1786853049.7830215,-3.7884250693304553,0.0,0.0,0.810778778991572,-2.433774201540046,301.8752527338699,0.7455692006100952,0.35,0.315,0.15,True,0.015153700277321821,True,0.0,0.0,0.0,0.0,0.4801537002773218,0.4801537002773218,False,0.4801537002773218,0.07539999933214858,3.7884250693304553,1.8942125346652277,0.14094556459923308,0.03093674355732565,2.8189112919846613,0.35,0.0,0.6018719673156738
5,1786853049.9337356,-3.981403699856691,0.0,0.0,0.8871195302641772,-2.530955433557288,301.63308600058167,0.9271772730987478,0.35,0.315,0.15,True,0.015925614799426765,True,0.0,0.0,0.0,0.0,0.48092561479942675,0.48092561479942675,False,0.48092561479942675,0.06969999958528206,3.981403699856691,1.9907018499283455,0.17080609234815824,0.02729236191631303,3.416121846963165,0.35,0.0,0.7525861263275146
6,1786853050.084238,-4.094714248741466,0.0,0.0,0.9605978514435178,-2.6101225188814383,301.408890798146,0.9994288385238321,0.35,0.315,0.15,True,0.016378856994965864,True,0.0,0.0,0.0,0.0,0.48137885699496585,0.48137885699496585,False,0.48137885699496585,0.07109999569365755,4.094714248741466,2.047357124370733,0.20151644921371925,0.018763359804139595,4.030328984274385,0.35,0.0,0.9030885696411133
7,1786853050.2347898,-4.181504936017253,0.0,0.0,1.0218646865816594,-2.6855475511819438,301.15606039529644,1.055462179644317,0.35,0.315,0.15,True,0.016726019744069013,True,0.0,0.0,0.0,0.0,0.481726019744069,0.481726019744069,False,0.481726019744069,0.09299999510403723,4.181504936017253,2.0907524680086267,0.23287773623384866,0.013729472086982006,4.657554724676973,0.35,0.0,1.053640365600586
8,1786853050.3853092,-4.0723114047091205,0.0,0.0,0.9328194938017171,-2.492360783337846,300.9713212006331,0.901997546328053,0.35,0.315,0.15,True,0.016289245618836483,True,0.0,0.0,0.0,0.0,0.48128924561883646,0.48128924561883646,False,0.48128924561883646,0.07029999687802047,4.0723114047091205,2.0361557023545602,0.25,-0.0060725546293311375,5.0,0.35,0.0,1.2041597366333008
9,1786853050.5358064,-3.9872890993071772,0.0,0.0,1.0237788650818593,-2.417697574752841,300.7245800391121,1.070101730776803,0.35,0.315,0.15,True,0.01594915639722871,True,0.0,0.0,0.0,0.0,0.4809491563972287,0.4809491563972287,False,0.4809491563972287,0.06739999662386253,3.9872890993071772,1.9936445496535886,0.25,-0.009757181559647374,5.0,0.35,0.0,1.3546569347381592
10,1786853050.6862738,-3.8316039932149293,0.0,0.0,0.9489389661570553,-2.2317284112218916,300.4610378016337,0.9242050017641645,0.35,0.315,0.15,True,0.015326415972859718,True,0.0,0.0,0.0,0.0,0.4803264159728597,0.4803264159728597,False,0.4803264159728597,0.07000000186963007,3.8316039932149293,1.9158019966074646,0.25,-0.017457764369837356,5.0,0.35,0.0,1.5051243305206299
11,1786853050.83673,-3.8932029841572375,0.0,0.0,1.0394825897798465,-2.3864491580361515,300.1808418493747,1.085627277907354,0.35,0.315,0.15,True,0.01557281193662895,True,0.0,0.0,0.0,0.0,0.48057281193662893,0.48057281193662893,False,0.48057281193662893,0.07179999374784529,3.8932029841572375,1.9466014920786188,0.25,0.00051190984366423,5.0,0.35,0.0,1.6555805206298828
12,1786853050.987215,-3.8671018474378647,0.0,0.0,1.0052945766115742,-2.322762252318916,299.9582899504395,0.9979828489714828,0.35,0.315,0.15,True,0.015468407389751459,True,0.0,0.0,0.0,0.0,0.48046840738975144,0.48046840738975144,False,0.48046840738975144,0.06839999696239829,3.8671018474378647,1.9335509237189323,0.25,-0.002282533140708865,5.0,0.35,0.0,1.806065559387207
13,1786853051.1373236,-3.868593226652364,0.0,0.0,0.9611098466066113,-2.3360789955050754,299.7026569696809,0.9495138117507953,0.35,0.315,0.15,True,0.015474372906609458,True,0.0,0.0,0.0,0.0,0.48047437290660944,0.48047437290660944,False,0.48047437290660944,0.06859999848529696,3.868593226652364,1.934296613326182,0.25,-0.0005455645488593738,5.0,0.35,0.0,1.9561741352081299
14,1786853051.2876604,-3.8958317476135615,0.0,0.0,0.8679251392553113,-2.374352005786286,299.42642777008564,0.8353291141082082,0.35,0.315,0.15,True,0.015583326990454246,True,0.0,0.0,0.0,0.0,0.4805833269904542,0.4805833269904542,False,0.4805833269904542,0.06779999966965988,3.8958317476135615,1.9479158738067808,0.25,0.002378592591720611,5.0,0.35,0.0,2.106510877609253
15,1786853051.4381902,-4.208990910403676,0.0,0.0,1.0371993972774687,-2.8100485865030786,299.2177371002631,1.1170857858618473,0.35,0.315,0.15,True,0.016835963641614705,True,0.0,0.0,0.0,0.0,0.4818359636416147,0.4818359636416147,False,0.4818359636416147,0.07069999992381781,4.208990910403676,2.104495455201838,0.25,0.029941766304593536,5.0,0.35,0.0,2.2570407390594482
16,1786853051.5886662,-4.0389175109236355,0.0,0.0,1.0385045245053275,-2.4328755174786854,298.96238936283544,1.0464041427492925,0.35,0.315,0.15,True,0.01615567004369454,True,0.0,0.0,0.0,0.0,0.4811556700436945,0.4811556700436945,False,0.4811556700436945,0.07109999569365755,4.0389175109236355,2.0194587554618177,0.25,-0.006890987393425722,5.0,0.35,0.0,2.4075167179107666
17,1786853051.7391644,-3.909040053944807,0.0,0.0,0.9376772011436029,-2.320224893000376,298.7493523391992,0.9018057691348891,0.35,0.315,0.15,True,0.015636160215779227,True,0.0,0.0,0.0,0.0,0.4806361602157792,0.4806361602157792,False,0.4806361602157792,0.07219999679364264,3.909040053944807,1.9545200269724035,0.25,-0.014189192202718384,5.0,0.35,0.0,2.5580148696899414
18,1786853051.8893883,-3.6090289934507025,0.0,0.0,0.8910167382324727,-1.9472994309997254,298.4963685900243,0.8783596749882994,0.35,0.315,0.15,True,0.01443611597380281,True,0.0,0.0,0.0,0.0,0.47943611597380276,0.47943611597380276,False,0.47943611597380276,0.08140000136336312,3.6090289934507025,1.8045144967253512,0.25,-0.0322577899735986,5.0,0.35,0.0,2.7082388401031494
