step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,theta,lr_model_raw,lr_static_bias,elapsed_s
0,1786854573.2559977,8.020540786719469,0.0,0.0,-2.080763508825399,9.466322395109636,41.90370858902373,-2.0835567608652,-0.8020540786719469,-0.7218486708047522,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.7218486708047522,-0.7218486708047522,False,-0.7218486708047522,0.04769999941345304,-0.1;0.0,-0.8020540786719469,0.0,0.0
1,1786854573.4079103,6.127928666496336,0.0,0.0,-1.547793050661082,6.762590794790876,42.65383460621167,-1.322170392059033,-0.6127928666496336,-0.5515135799846703,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.5515135799846703,-0.5515135799846703,False,-0.5515135799846703,0.06749999738531187,-0.1;0.0,-0.6127928666496336,0.0,0.15191268920898438
2,1786854573.5579762,4.9744480941394595,0.0,0.0,-1.1949934186483933,5.9258808858052525,43.21562996541863,-1.0465868283970419,-0.497444809413946,-0.44770032847255137,-0.005969337712967351,False,-0.019897792376557838,True,0.0,0.0,0.0,0.0,-0.4735674585620766,-0.4735674585620766,False,-0.4735674585620766,0.0794000006862916,-0.1;0.0,-0.497444809413946,0.0,0.30197858810424805
3,1786854573.708082,4.333850274830782,0.0,0.0,-1.1248012710576707,5.505089960660088,43.79253013602907,-1.0975121741300191,-0.4333850274830782,-0.3900465247347704,-0.01116995804276429,False,-0.01733540109932313,True,0.0,0.0,0.0,0.0,-0.4185518838768578,-0.4185518838768578,False,-0.4185518838768578,0.0790999984019436,-0.1;0.0,-0.4333850274830782,0.0,0.4520843029022217
4,1786854573.858594,3.0636711058826354,0.0,0.0,-0.8691985748116855,3.9650902132950265,44.252736668523,-0.7624478141746355,-0.30636711058826355,-0.2757303995294372,-0.014846363369823451,False,-0.012254684423530542,True,0.0,0.0,0.0,0.0,-0.30283144732279116,-0.30283144732279116,False,-0.30283144732279116,0.08739999611862004,-0.1;0.0,-0.30636711058826355,0.0,0.6025962829589844
5,1786854574.0088139,2.655750654434202,0.0,0.0,-0.5771352265996231,3.926709212203613,44.65404602370504,-0.45475847226282595,-0.26557506544342024,-0.23901755889907822,-0.018033264155144495,False,-0.010623002617736809,True,0.0,0.0,0.0,0.0,-0.2676738256719595,-0.2676738256719595,False,-0.2676738256719595,0.07850000110920519,-0.1;0.0,-0.26557506544342024,0.0,0.7528162002563477
6,1786854574.15919,2.0764774694071355,0.0,0.0,-0.591978766472683,3.273999141357132,44.98256867122685,-0.6011335356009381,-0.20764774694071356,-0.18688297224664221,-0.020525037118433058,False,-0.008305909877628543,True,0.0,0.0,0.0,0.0,-0.21571391924270383,-0.21571391924270383,False,-0.21571391924270383,0.07760000153211877,-0.1;0.0,-0.20764774694071356,0.0,0.9031922817230225
7,1786854574.3093631,1.6699679666843688,0.0,0.0,-0.4255572091912344,2.94153121676478,45.30556009311755,-0.35702693668184315,-0.1669967966684369,-0.1502971170015932,-0.0225289986784543,False,-0.006679871866737475,True,0.0,0.0,0.0,0.0,-0.17950598754678498,-0.17950598754678498,False,-0.17950598754678498,0.07660000119358301,-0.1;0.0,-0.1669967966684369,0.0,1.0533654689788818
8,1786854574.4595637,1.5755975445372767,0.0,0.0,-0.41299659316028137,2.9809346862929766,45.64261844450361,-0.41040672404395967,-0.1575597544537277,-0.14180377900835492,-0.024419715731899033,False,-0.006302390178149107,True,0.0,0.0,0.0,0.0,-0.17252588491840304,-0.17252588491840304,False,-0.17252588491840304,0.07919999916339293,-0.1;0.0,-0.1575597544537277,0.0,1.203566074371338
9,1786854574.6097386,1.1833964459946582,0.0,0.0,-0.28914701349988137,2.4610918692951325,45.94313925355262,-0.23886187425665367,-0.11833964459946583,-0.10650568013951925,-0.025839791467092622,False,-0.004733585783978633,True,0.0,0.0,0.0,0.0,-0.1370790573905905,-0.1370790573905905,False,-0.1370790573905905,0.07919999916339293,-0.1;0.0,-0.11833964459946583,0.0,1.353740930557251
10,1786854574.7601585,1.0537623889883156,0.0,0.0,-0.3129490897966174,2.443986544375765,46.257939971284124,-0.3259432316778766,-0.10537623889883158,-0.09483861500894843,-0.0271043063338786,False,-0.004215049555953263,True,0.0,0.0,0.0,0.0,-0.12615797089878028,-0.12615797089878028,False,-0.12615797089878028,0.07760000153211877,-0.1;0.0,-0.10537623889883158,0.0,1.5041608810424805
11,1786854574.9106483,1.1556719174369332,0.0,0.0,-0.2968543106354764,2.6451290380193657,46.53893789656592,-0.29274980017764546,-0.11556719174369333,-0.104010472569324,-0.02849111263480292,False,-0.004622687669747733,True,0.0,0.0,0.0,0.0,-0.13712427287387466,-0.13712427287387466,False,-0.13712427287387466,0.07830000686226413,-0.1;0.0,-0.11556719174369333,0.0,1.6546506881713867
12,1786854575.0610967,1.0064249781074808,0.0,0.0,-0.3140233151635957,2.388243612499312,46.75054358008976,-0.3241747120011621,-0.10064249781074808,-0.09057824802967328,-0.029698822608531898,False,-0.004025699912429923,True,0.0,0.0,0.0,0.0,-0.12430277055063509,-0.12430277055063509,False,-0.12430277055063509,0.07639999967068434,-0.1;0.0,-0.10064249781074808,0.0,1.8050990104675293
13,1786854575.2116296,1.1207496776620274,0.0,0.0,-0.3448754676046025,2.6155275858612868,47.01036020699853,-0.3608910706905492,-0.11207496776620274,-0.10086747098958247,-0.03104372222172633,False,-0.00448299871064811,True,0.0,0.0,0.0,0.0,-0.13639419192195693,-0.13639419192195693,False,-0.13639419192195693,0.07790000381646678,-0.1;0.0,-0.11207496776620274,0.0,1.955631971359253
14,1786854575.3617573,1.2790557714347788,0.0,0.0,-0.21437577886279946,2.7926828485846973,47.224797838794274,-0.16124059287039905,-0.1279055771434779,-0.1151150194291301,-0.032578589147448066,False,-0.005116223085739115,True,0.0,0.0,0.0,0.0,-0.1528098316623173,-0.1528098316623173,False,-0.1528098316623173,0.0802000067778863,-0.1;0.0,-0.1279055771434779,0.0,2.105759620666504
15,1786854575.5118554,1.179236662916141,0.0,0.0,-0.3548525469659502,2.5822386533697497,47.54377888350894,-0.41785012819281575,-0.1179236662916141,-0.1061312996624527,-0.033993673142947434,False,-0.004716946651664564,True,0.0,0.0,0.0,0.0,-0.1448419194570647,-0.1448419194570647,False,-0.1448419194570647,0.08169999637175351,-0.1;0.0,-0.1179236662916141,0.0,2.2558577060699463
