step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,mpc_cost,mpc_u_sequence,mpc_predicted_yaw_err,mpc_predicted_rate,mpc_state,mpc_target_yaw,mpc_model_raw,mpc_static_bias,elapsed_s
0,1786854646.3636186,8.366344910864672,101.88328911941255,0.0,-2.048675972694761,9.81212651925484,101.88328911941255,-2.051469224734562,-0.15,-0.135,-0.010039613893037607,False,-0.03346537964345869,True,0.0,-0.025099034732594016,0.0,0.0,-0.20360402826909033,-0.20360402826909033,False,-0.20360402826909033,0.4206999947200529,598.1100959156805,-1.0;-1.0;-1.0;-1.0;-0.2537110860262531,0.0;1.2549517366297007;2.295484988814392;3.1505462519541494;3.84517424457004;4.401027458182785,8.366344910864672;6.936888347897941;5.700408420931719;4.630853284105937;3.705688090751636;3.129306872692289,0.0;8.366344910864672,101.88328911941255,-0.15,0.0,0.0
1,1786854646.5156035,3.6112742699623057,102.19040102647512,0.0,-0.9667096694579281,3.0191684608228884,102.19040102647512,-0.5058030772533721,-0.3,-0.27,-0.014373143016992374,False,-0.014445097079849223,True,0.43056035400385895,-0.015139426349925506,0.06458405310057884,0.0,-0.3139576664467671,-0.3139576664467671,False,-0.3139576664467671,0.44219999836059287,112.98940609002932,-1.0;-1.0;-1.0;-0.45179295945052944;-0.07033918872531779,0.30711190706256275;0.8488030475569086;1.2723658840845178;1.5937477376808997;1.82674304104177;2.007953295273649,3.6112742699623057;2.8237522435173945;2.1425456906425464;1.5533020224058025;1.2080683615458605;1.023877376119574,0.30711190706256275;3.6112742699623057,101.88328911941255,-0.3,0.0,0.15198493003845215
2,1786854646.666096,2.9342535432015184,102.61298934511052,0.0,-0.7409991272936112,4.089883411551349,102.61298934511052,-0.6470592898344191,-0.35,-0.315,-0.017894247268834197,False,-0.011737014172806074,True,0.7670540848852596,-0.01647330147845715,0.1,0.0,-0.36110456292009746,-0.36110456292009746,False,-0.36110456292009746,0.4534999970928766,100.64699859235684,-1.0;-1.0;-1.0;-0.3163595843131894;0.004094534100523357,0.7297002256979681;1.1698382571781958;1.5055576544085927;1.7509549330128862;1.9182235790056;2.048674776495204,2.9342535432015184;2.2381293148693135;1.6359818573619562;1.115124306618092;0.8696746499306928;0.7534969324202063,0.7297002256979681;2.9342535432015184,101.88328911941255,-0.35,0.0,0.3024773597717285
3,1786854646.8165958,2.8176299667916194,103.08943171700918,0.0,-0.6691065568549033,4.2134300424346876,103.08943171700918,-0.6410887072781152,-0.35,-0.315,-0.02127540322898414,False,-0.011270519867166477,True,1.0986496535034718,-0.019439386435409576,0.1,0.0,-0.3669853095315602,-0.3669853095315602,False,-0.3669853095315602,0.4517999987001531,133.66814609853762,-1.0;-1.0;-0.9869188560056513;-0.25038067703584266;0.06840341410297635,1.2061425975966245;1.6287870926153674;1.9493745808065799;2.181682758091979;2.3382179829235947;2.4623538219363295,2.8176299667916194;2.137249921274751;1.5487211819026594;1.043568165544105;0.8275722600848979;0.7363710292043295,1.2061425975966245;2.8176299667916194,101.88328911941255,-0.35,0.0,0.45297718048095703
4,1786854646.9666545,2.959864494039063,103.5214768710814,0.0,-0.7411541514197117,4.46660375696385,103.5214768710814,-0.7748249439872877,-0.35,-0.315,-0.024827240621831014,False,-0.011839457976156252,True,1.457909553718153,-0.02345868901929872,0.1,0.0,-0.375125387617286,-0.375125387617286,False,-0.375125387617286,0.4549000004772097,188.954723152474,-1.0;-1.0;-1.0;-0.2238035026650684;0.11919931667051385,1.6381877516688519;2.082167425774711;2.4212098438762797;2.6694815355341364;2.8392365488181825;2.976003477688954,2.959864494039063;2.26028278734379;1.6551446110523782;1.131700088560307;0.9117795258051451;0.8244490848226046,1.6381877516688519;2.959864494039063,101.88328911941255,-0.35,0.0,0.6030359268188477
5,1786854647.1171272,2.7564126278312173,103.93874888074686,0.0,-0.7726368710202945,4.115000579275166,103.93874888074686,-0.7889227171746309,-0.35,-0.315,-0.028134935775228475,False,-0.01102565051132487,True,1.7937340651522078,-0.02620657853501573,0.1,0.0,-0.38036716482156907,-0.38036716482156907,False,-0.38036716482156907,0.46070000098552555,226.64694265355644,-1.0;-1.0;-1.0;-0.15243354286304303;0.17859385112465714,2.055459761334305;2.4689216555089875;2.7815661939700878;3.0070037197389397;3.1570071795289967;3.2799006628185587,2.7564126278312173;2.084296923074003;1.5029168384590126;1.0000230652670459;0.8192898885970817;0.7622639089738729,2.055459761334305;2.7564126278312173,101.88328911941255,-0.35,0.0,0.7535085678100586
6,1786854647.2676146,3.0619151084940506,104.41025662699104,0.0,-0.6700172072188002,4.638626351454004,104.41025662699104,-0.628830603343675,-0.35,-0.315,-0.031809233905421334,False,-0.012247660433976203,True,2.182572577702544,-0.03101147110250759,0.1,0.0,-0.3900683654419051,-0.3900683654419051,False,-0.3900683654419051,0.4315999976824969,321.1583093988168,-1.0;-1.0;-1.0;-0.1435796647794455;0.229472241406868,2.5269675075784903;2.9862547738525977;3.3385382591797006;3.598263473987645;3.7779257847965164;3.9268725987311153,3.0619151084940506;2.348556568847354;1.731501432052961;1.1977487387258112;0.9929787595639931;0.9277682994449143,2.5269675075784903;3.0619151084940506,101.88328911941255,-0.35,0.0,0.9039959907531738
7,1786854647.41813,2.8688887456940417,104.85045859205462,0.0,-0.7951130449494342,4.231944770027063,104.85045859205462,-0.8515187988737927,-0.35,-0.315,-0.03525190040025419,False,-0.011475554982776167,True,2.548882528387537,-0.0340954915209575,0.1,0.0,-0.39582294690398784,-0.39582294690398784,False,-0.39582294690398784,0.425300000642892,379.25460520077047,-1.0;-1.0;-1.0;-0.07118491274094388;0.2914754335124255,2.9671694726420696;3.397502784496176;3.724741099249978;3.9628022415120165;4.12372512956868;4.259720106664351,2.8688887456940417;2.1815887650253463;1.5870742817469246;1.0728192537110897;0.9066331806378094;0.8716803313054328,2.9671694726420696;2.8688887456940417,101.88328911941255,-0.35,0.0,1.054511308670044
8,1786854647.5685604,2.7572670116502485,105.2906244668045,0.0,-0.7756718192317398,4.155210734021648,105.2906244668045,-0.7701331173925287,-0.35,-0.315,-0.03856062081423448,False,-0.011029068046600993,True,2.905697153699677,-0.03732877257194751,0.1,0.0,-0.401918461432783,-0.401918461432783,False,-0.401918461432783,0.46930000098655,452.4628702783672,-1.0;-1.0;-1.0;-0.009709666508745189;0.3510054104648836,3.4073353473919497;3.8209253991394867;4.133680793901107;4.359214210369908;4.5093006156154205;4.6386884211598955,2.7572670116502485;2.085035965077465;1.5035561097920072;1.000576034970086;0.8625853702965008;0.8514379684459383,3.4073353473919497;2.7572670116502485,101.88328911941255,-0.35,0.0,1.204941749572754
9,1786854647.719059,3.3138104021527917,105.7464336225375,0.0,-0.8384544730112288,4.998110606472621,105.7464336225375,-0.8681545766708106,-0.35,-0.315,-0.042537193296817835,False,-0.013255241608611168,True,3.3472343293348388,-0.04341377449980677,0.1,0.0,-0.4142062094052358,-0.4142062094052358,False,-0.4142062094052358,0.43729999742936343,608.0202320844126,-1.0;-1.0;-1.0;-0.03617701838838428;0.39226851299948545,3.8631445031249427;4.3602160634478615;4.745182963127186;5.0331793313498014;5.237296189862364;5.412229306648253,3.3138104021527917;2.5664459978621648;1.9199757881507724;1.360779056750418;1.1662207785725964;1.1264615273651415,3.8631445031249427;3.3138104021527917,101.88328911941255,-0.35,0.0,1.355440378189087
10,1786854647.869131,3.147351026071356,106.18608859038926,0.0,-0.7900767113684385,4.521792901855195,106.18608859038926,-0.7721366369899008,-0.35,-0.315,-0.046314014528103464,False,-0.012589404104285424,True,3.7656495344481016,-0.04709854842269509,0.1,0.0,-0.42100196705508397,-0.42100196705508397,False,-0.42100196705508397,0.4365999993751757,694.1969052799492,-1.0;-1.0;-1.0;0.03259752337158914;0.4533962840928535,4.302799470976709;4.7749021248874115;5.13827092052017;5.407584928742506;5.595541545854827;5.759590908208706,3.147351026071356;2.422458637551723;1.7954267214822404;1.2530441140821378;1.0936624156925259;1.082036874801891,4.302799470976709;3.147351026071356,101.88328911941255,-0.35,0.0,1.5055124759674072
11,1786854648.0195403,3.4397936571214247,106.67435334452529,0.0,-0.7842845403715507,5.010907821675908,106.67435334452529,-0.7845954334126855,-0.35,-0.315,-0.05044176691664917,False,-0.013759174628485698,True,4.2300097865680755,-0.052619478837045035,0.1,0.0,-0.43182042038217994,-0.43182042038217994,False,-0.43182042038217994,0.4306999981054105,858.2060470634531,-1.0;-1.0;-1.0;0.04497315646702388;0.5068081444092968,4.791064225112734;5.307033273680948;5.7083465006924525;6.010482442057405;6.226830031338087;6.415994488106894,3.4397936571214247;2.6754215134100323;2.014239609099678;1.4423172618712214;1.2610963784587137;1.2428908106895762,4.791064225112734;3.4397936571214247,101.88328911941255,-0.35,0.0,1.6559216976165771
12,1786854648.170055,3.524162556106819,107.16936111818472,0.0,-0.8999269283663424,5.006102264062156,107.16936111818472,-0.9522812038324826,-0.35,-0.315,-0.054670761983977356,False,-0.014096650224427276,True,4.708464748471187,-0.05765713515303232,0.1,0.0,-0.441424547361437,-0.441424547361437,False,-0.441424547361437,0.4251000063959509,1012.5715347618649,-1.0;-1.0;-1.0;0.08596223289317736;0.5673899831075755,5.286071998772172;5.814696382188195;6.226956473843055;6.538561453124509;6.763099760202967;6.961193696306025,3.524162556106819;2.7484006110323986;2.077366528543025;1.4969220471897164;1.320626240687058;1.3125586931265778,5.286071998772172;3.524162556106819,101.88328911941255,-0.35,0.0,1.80643630027771
13,1786854648.3205414,3.555354025208543,107.69860400760552,0.0,-0.7905656224297308,5.014503406070879,107.69860400760552,-0.7464897433538411,-0.35,-0.315,-0.058937186814227605,False,-0.014221416100834173,True,5.195287167311761,-0.06261893374874325,0.1,0.0,-0.45077753666380505,-0.45077753666380505,False,-0.45077753666380505,0.45400000090012327,1183.5201341004863,-1.0;-1.0;-1.0;0.13769922995960168;0.6339512723415428,5.815314888192972;6.348617991974254;6.764925176745062;7.080030891571812;7.30759733489695;7.510638773721376,3.555354025208543;2.77538123180539;2.1007047655116624;1.517109622167588;1.3536095921628442;1.361057678923323,5.815314888192972;3.555354025208543,101.88328911941255,-0.35,0.0,1.9569227695465088
14,1786854648.4710295,3.474108668333641,108.20120154992225,0.0,-0.8459677902289479,4.885070838063137,108.20120154992225,-0.8725048284684132,-0.35,-0.315,-0.06310611721622797,False,-0.013896434673334564,True,5.672159736781694,-0.06714392337281787,0.1,0.0,-0.45914647526238045,-0.45914647526238045,False,-0.45914647526238045,0.4350000017439015,1341.759293044355,-1.0;-1.0;-1.0;0.20169774953208008;0.7005235037427778,6.317912430509693;6.83902873075974;7.244794330476029;7.55078157423062;7.770460540078341;7.969559244265564,3.474108668333641;2.7051039981085996;2.039914958363939;1.4645264389848072;1.3273246945814823;1.3582929119358154,6.317912430509693;3.474108668333641,101.88328911941255,-0.35,0.0,2.1074109077453613
