step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,pid_error,pid_P,pid_I,pid_D,pid_integral,pid_model_raw,pid_static_bias,elapsed_s
0,1786854589.4994383,8.062630979498618,0.0,0.0,-1.9355561319969736,9.508412587888785,136.10358844835463,-1.9383493840367745,-0.35,-0.315,-0.00967515717539834,False,-0.03225052391799447,True,0.0,0.0,0.0,0.0,-0.35692568109339284,-0.35692568109339284,False,-0.35692568109339284,0.0644999963697046,-8.062630979498618,-4.031315489749309,-0.06046973234623964,-0.7525122247532043,-1.2093946469247927,-0.35,0.0,0.0
1,1786854589.6514673,4.547337709057072,0.0,0.0,-1.1529930777993354,4.486565058686578,136.55412382845242,-0.8204021637544342,-0.35,-0.315,-0.015131962426266826,False,-0.01818935083622829,True,0.0,0.0,0.0,0.0,-0.34832131326249516,-0.34832131326249516,False,-0.34832131326249516,0.08490000618621707,-4.547337709057072,-2.273668854528536,-0.09457476516416768,0.10234037114858292,-1.8914953032833535,-0.35,0.0,0.15202903747558594
2,1786854589.8019054,3.458417906687864,0.0,0.0,-0.7901507743920306,4.437519599776943,136.97127212270198,-0.6374401821144152,-0.35,-0.315,-0.019282063914292262,False,-0.013833671626751457,True,0.0,0.0,0.0,0.0,-0.34811573554104375,-0.34811573554104375,False,-0.34811573554104375,0.0805000017862767,-3.458417906687864,-1.729208953343932,-0.12051289946432667,0.13233462623236764,-2.4102579892865332,-0.35,0.0,0.30246710777282715
3,1786854589.9524217,3.025156965494177,0.0,0.0,-0.5611159547378478,4.285255313372764,137.4089151514923,-0.46575142692585614,-0.35,-0.315,-0.022912252272885274,False,-0.012100627861976708,True,0.0,0.0,0.0,0.0,-0.350012880134862,-0.350012880134862,False,-0.350012880134862,0.08209999941755086,-3.025156965494177,-1.5125784827470885,-0.143201576705533,0.08013807571445444,-2.86403153411066,-0.35,0.0,0.45298337936401367
4,1786854590.102922,2.8272706627890214,0.0,0.0,-0.5756171603766556,4.188243855734123,137.83558666454667,-0.5846252148330884,-0.35,-0.315,-0.0263049770682321,False,-0.011309082651156085,True,0.0,0.0,0.0,0.0,-0.3526140597193882,-0.3526140597193882,False,-0.3526140597193882,0.08049999451031908,-2.8272706627890214,-1.4136353313945107,-0.16440610667645067,0.042510810966817525,-3.288122133529013,-0.35,0.0,0.6034836769104004
5,1786854590.2533994,2.7038090340216607,0.0,0.0,-0.7070382679995116,4.096678515797246,138.24048576226164,-0.7661548518776795,-0.35,-0.315,-0.029549547909058095,False,-0.010815236136086643,True,0.0,0.0,0.0,0.0,-0.35536478404514477,-0.35536478404514477,False,-0.35536478404514477,0.07929999992484227,-2.7038090340216607,-1.3519045170108304,-0.18468467443161313,0.02427632864166559,-3.6936934886322623,-0.35,0.0,0.7539610862731934
6,1786854590.4034483,2.979275235746307,0.0,0.0,-0.6222098683129906,4.543113787732752,138.68119619365606,-0.5886480919157111,-0.35,-0.315,-0.033124678191953666,False,-0.011917100942985228,True,0.0,0.0,0.0,0.0,-0.3600417791349389,-0.3600417791349389,False,-0.3600417791349389,0.08080000407062471,-2.979275235746307,-1.4896376178731534,-0.2070292386997104,-0.01842728023513396,-4.140584773994208,-0.35,0.0,0.9040100574493408
7,1786854590.5539086,2.7781513984262767,0.0,0.0,-0.6861772346070407,4.137737076536432,139.0937658323133,-0.7163850722014345,-0.35,-0.315,-0.0364584598700652,False,-0.011112605593705107,True,0.0,0.0,0.0,0.0,-0.36257106546377027,-0.36257106546377027,False,-0.36257106546377027,0.08100000559352338,-2.7781513984262767,-1.3890756992131383,-0.2278653741879075,0.013243374079329294,-4.55730748375815,-0.35,0.0,1.0544703006744385
8,1786854590.7043815,2.6252292252914873,0.0,0.0,-0.8091193891751498,4.005472759481031,139.50515098364215,-0.8646021360298546,-0.35,-0.315,-0.03960873494041498,False,-0.01050091690116595,True,0.0,0.0,0.0,0.0,-0.36510965184158095,-0.36510965184158095,False,-0.36510965184158095,0.07840000034775585,-2.6252292252914873,-1.3126146126457436,-0.24755459337759367,0.0182457483830458,-4.951091867551873,-0.35,0.0,1.2049431800842285
9,1786854590.854862,2.6499421166114985,0.0,0.0,-0.6415081435622415,4.106314964138814,139.97446849452547,-0.5724680046250817,-0.35,-0.315,-0.04278866548034878,False,-0.010599768466445994,True,0.0,0.0,0.0,0.0,-0.36838843394679477,-0.36838843394679477,False,-0.36838843394679477,0.07929999992484227,-2.6499421166114985,-1.3249710583057492,-0.25,0.0031671879917126943,-5.0,-0.35,0.0,1.3554236888885498
