step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,rls_theta,rls_prediction_error,rls_kalman_gain_norm,rls_P_trace,rls_theta_delta,rls_converged,rls_target,rls_model_raw,rls_static_bias,elapsed_s
0,1786854630.1185553,8.213297852335554,0.0,0.0,-1.8997113707175872,9.659079460725723,355.3532226756063,-1.902504622757388,-0.8213297852335555,-0.7391968067101999,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.7391968067101999,-0.7391968067101999,False,-0.7391968067101999,0.09980000322684646,-0.10984027018200672;-0.0011980900192495158,-0.08213297852335555,0.12069375827879393,10.540902987463939,0.09024329780708518,False,-0.903462763756911,-0.8213297852335555,0.0,0.0
1,1786854630.2704573,7.043955869295748,0.0,0.0,-1.6863163031168529,7.988590913525999,356.0875169521771,-1.5976545261849107,-0.7749081058528264,-0.6974172952675438,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.6974172952675438,-0.6974172952675438,False,-0.6974172952675438,0.13590000162366778,-0.10699050369385728;-0.056460371602985275,-0.07043955869295748,0.7855771988726119,9.862514159489946,0.45741770348055255,False,-0.8453476645457839,-0.7749081058528264,0.0,0.1519019603729248
2,1786854630.420944,6.388173719667033,0.0,0.0,-1.5444329325520212,7.552905835359181,356.78781589431526,-1.486419025778323,-0.7399342955540229,-0.6659408659986207,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.6659408659986207,-0.6659408659986207,False,-0.6659408659986207,0.13480000052368268,-0.10073826084573004;-0.12180750760954714,-0.06388173719667034,1.0276106538985639,8.628298342644825,0.4153013342494321,False,-0.8038160327506932,-0.7399342955540229,0.0,0.30238866806030273
3,1786854630.5714111,5.597300744439904,0.0,0.0,-1.1415283003585786,6.704136792018446,357.45839198883624,-0.9716481386011899,-0.6856698500349332,-0.6171028650314399,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.6171028650314399,-0.6171028650314399,False,-0.6171028650314399,0.13210000179242343,-0.0927300252680995;-0.18951478366083158,-0.05597300744439904,1.2180733294227584,6.572697019750937,0.32314712635184256,False,-0.7416428574793322,-0.6856698500349332,0.0,0.45285582542419434
4,1786854630.72192,5.37361872454513,0.0,0.0,-1.1674783622674387,6.7235366101232525,358.0651993000344,-1.1813930694110368,-0.687810583769034,-0.6190295253921306,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.6190295253921306,-0.6190295253921306,False,-0.6190295253921306,0.1325999983237125,-0.08616698441914013;-0.2428164962419621,-0.05373618724545126,0.9994055968616556,5.415275846766728,0.2084370674285788,False,-0.7415467710144853,-0.687810583769034,0.0,0.6033647060394287
5,1786854630.8723717,4.709327802289005,0.0,0.0,-1.2829312076079098,5.870413301140833,358.673728397021,-1.3352042505079127,-0.6486050716064222,-0.58374456444578,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.58374456444578,-0.58374456444578,False,-0.58374456444578,0.13830000534653664,-0.07971791716029131;-0.2905245875226797,-0.047093278022890095,1.0222690989048873,4.046366767137204,0.15980050582925878,False,-0.6956983496293123,-0.6486050716064222,0.0,0.7538163661956787
6,1786854631.0224195,4.516974532232897,0.0,0.0,-1.1787495605701699,5.880319024884733,359.29688064895174,-1.1368935353080825,-0.6506083890983674,-0.5855475501885307,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.5855475501885307,-0.5855475501885307,False,-0.5855475501885307,0.13580000086221844,-0.0745667758013405;-0.3277456342609245,-0.04516974532232898,0.8318797791690198,3.257979227728418,0.11179243415615224,False,-0.6957781344206964,-0.6506083890983674,0.0,0.9038641452789307
7,1786854631.1728523,4.576079870791595,0.0,0.0,-1.1188332423522993,6.047192338564063,359.90059168569786,-1.0959480722987271,-0.6689691560352686,-0.6020722404317418,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.6020722404317418,-0.6020722404317418,False,-0.6020722404317418,0.1320000010309741,-0.07057232806687352;-0.3568883317963066,-0.04576079870791594,0.6428028866578949,2.8876244016206623,0.0808555576272026,False,-0.7147299547431846,-0.6689691560352686,0.0,1.0542969703674316
8,1786854631.323379,4.893311774047707,0.0,0.0,-1.1586045827486608,6.47504991240478,0.5397587350697677,-1.178442694958331,-0.7022207356478962,-0.6319986620831066,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.6319986620831066,-0.6319986620831066,False,-0.6319986620831066,0.13309999485500157,-0.06797567089632152;-0.3777684539644685,-0.04893311774047704,0.42999432940582144,2.8176305995985063,0.05481765691224055,False,-0.7511538533883733,-0.7022207356478962,0.0,1.2048237323760986
9,1786854631.4734771,5.019443076948407,0.0,0.0,-1.239432667587144,6.519280958010303,1.2591123131790027,-1.2768665274148665,-0.7189684646459329,-0.6470716181813396,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.6470716181813396,-0.6470716181813396,False,-0.6470716181813396,0.13210000179242343,-0.06605473574865964;-0.3944518928273969,-0.050194430769484044,0.33457224150636805,2.835722989130247,0.04198999454116378,True,-0.7691628954154169,-0.7189684646459329,0.0,1.354921817779541
