step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,rls_theta,rls_prediction_error,rls_kalman_gain_norm,rls_P_trace,rls_theta_delta,rls_converged,rls_target,rls_model_raw,rls_static_bias,elapsed_s
0,1786854539.7019172,8.034716737957417,45.784457871873286,-1.9216057447145227,-1.9216057447145227,9.559833749028781,45.784457871873286,-1.923446016666221,0.0,0.0,-0.009641660085548901,False,-0.03213886695182967,True,0.0,-0.02410415021387225,0.0,0.0,-0.06588467725125083,-0.06588467725125083,False,-0.06588467725125083,0.148899998748675,-0.0011475044082440372;-0.006538857429639039;0.0002744404233381286;-0.00014281827793916172,-0.3092694567389406,0.021489307860583513,315.78993547658877,0.9999999998495331,False,-0.3092694567389406,0.0,0.0,0.0
1,1786854539.8536742,2.621148766362441,45.99577850118561,-0.7234158222588559,-0.7234158222588559,1.8261652181788153,45.99577850118561,-0.21174612744383997,-0.3041089705710228,-0.27369807351392056,-0.01278703860518383,False,-0.010484595065449763,True,0.28992090731595255,-0.010762655372246847,0.04348813609739288,0.0,-0.307732362556801,-0.307732362556801,False,-0.307732362556801,0.19220000103814527,0.043635245899980274;-0.014811578105839138;-0.009617087702788745;-0.0002843557818330476,-0.25619038016955253,0.18190582057283117,221.6739429028955,0.9899786593868881,False,-0.5602993507405754,-0.3041089705710228,0.0,0.15175700187683105
2,1786854540.0041442,1.9720742629370482,46.39184166329132,-0.5456927395924991,-0.5456927395924991,3.219016486826102,46.39184166329132,-0.47136597611575876,-0.5961208217196782,-0.5365087395477104,-0.01278703860518383,False,0.0,False,0.49876091354238383,0.0,0.04348813609739288,0.0,-0.5492957781528942,-0.5492957781528942,False,-0.5492957781528942,0.167199999850709,-0.019928953308473385;-0.022067167583999358;-0.40671317809982827;0.09340966591388385,-0.25167995094582707,1.640914901662028,226.57189931199673,0.9871531027238666,False,-0.8478007726655052,-0.5961208217196782,0.0,0.3022270202636719
3,1786854540.1546576,3.22258682579716,46.976574854657265,-1.0963736567818116,-1.0963736567818116,5.283637792380002,46.976574854657265,-1.3342200361003582,-0.5615434519752803,-0.5053891067777523,-0.01278703860518383,False,0.0,False,0.9102431082546687,0.0,0.04348813609739288,0.0,-0.5181761453829361,-0.5181761453829361,False,-0.5181761453829361,0.16460000188089907,0.17808208611369417;-0.02201328694024709;0.4673069587606234;0.17518949545278534,-0.26710874253125794,3.3690138663841394,141.55763919095483,1.696809473213949,False,-0.8286521945065383,-0.5615434519752803,0.0,0.4527404308319092
4,1786854540.3051083,3.9455951942626273,47.57613245287445,-1.0635853485386066,-1.0635853485386066,5.780572934676336,47.57613245287445,-1.0513734883860741,-0.6664985711930203,-0.5998487140737182,-0.01278703860518383,False,0.0,False,1.43654649009558,0.0,0.04348813609739288,0.0,-0.612635752678902,-0.612635752678902,False,-0.612635752678902,0.16630000027362257,0.1549990227584859;-0.03889138497304323;0.36744652613738604;0.883179385758083,-0.2773366142069985,2.5801474065785794,139.65818540241133,0.7378336735619712,False,-0.9438351854000188,-0.6664985711930203,0.0,0.6031911373138428
5,1786854540.4551883,4.195616077036354,48.215083569160065,-1.2386471070196639,-1.2386471070196639,5.827884895010746,48.215083569160065,-1.3155138468918153,-0.7967921756116436,-0.7171129580504793,-0.01278703860518383,False,0.0,False,2.0063645725148476,0.0,0.04348813609739288,0.0,-0.7298999966556631,-0.7298999966556631,False,-0.7298999966556631,0.16179999511223286,0.22836149677691397;-0.052029501024057116;0.7215187648620671;1.542110967815375,-0.2830315786161639,2.6560278104171884,135.77499449254364,0.43741656915730276,False,-1.0798237542278075,-0.7967921756116436,0.0,0.7532711029052734
6,1786854540.6056578,5.274120203892754,48.935020946390445,-1.3116074120628056,-1.3116074120628056,7.261453269331148,48.935020946390445,-1.3447163861758504,-0.7458971306202788,-0.671307417558251,-0.01278703860518383,False,0.0,False,2.737025768025177,0.0,0.04348813609739288,0.0,-0.6840944561634348,-0.6840944561634348,False,-0.6840944561634348,0.16489999688928947,0.13839534248760463;-0.07687344421524565;0.36953247233988584;2.642706038289166,-0.2974163067708797,3.897814102828335,116.25426941869759,0.4336798209172575,False,-1.0433134373911586,-0.7458971306202788,0.0,0.903740644454956
7,1786854540.755698,5.348957011348588,49.620401210379434,-1.3200955384427502,-1.3200955384427502,6.906146939901026,49.620401210379434,-1.325573578842996,-0.9193325366035858,-0.8273992829432273,-0.01278703860518383,False,0.0,False,3.47439196844271,0.0,0.04348813609739288,0.0,-0.8401863215484111,-0.8401863215484111,False,-0.8401863215484111,0.1632999992580153,0.06918831625738071;-0.09951356670822742;0.09119083503327241;3.652842909381736,-0.3015915761653831,3.482560097112715,102.66176884239165,0.2872848734461083,False,-1.220924112768969,-0.9193325366035858,0.0,1.0537807941436768
8,1786854540.9061055,6.638718724638732,50.435171978612836,-1.5342057560635152,-1.5342057560635152,8.716590755691588,50.435171978612836,-1.6278075498526845,-1.0467246750970594,-0.9420522075873534,-0.01278703860518383,False,0.0,False,4.395937650719553,0.0,0.04348813609739288,0.0,-0.9548392461925372,-0.9548392461925372,False,-0.9548392461925372,0.16139999934239313,-0.018692530064562105;-0.11686379899533876;-0.2448858699376174;4.444382032626577,-0.3185630471394516,2.714012784772181,94.03389535526394,0.1941709157587167,False,-1.365287722236511,-1.0467246750970594,0.0,1.204188346862793
9,1786854541.0565944,7.55280768174541,51.3631397341793,-1.8395705354806131,-1.8395705354806131,9.46967710300535,51.3631397341793,-1.9722814271824964,-1.2488058588081525,-1.1239252729273372,-0.01278703860518383,False,0.0,False,5.444141374940287,0.0,0.04348813609739288,0.0,-1.136712311532521,-1.0,False,-1.0,0.1621999981580302,-0.005059060564701224;-0.13249561643933525;-0.0854064748516665;5.295666617675905,-0.3323437754883507,2.6067661725506666,87.11737381270076,0.1635221038294714,False,-1.5811496342965032,-1.2488058588081525,0.0,1.3546772003173828
